epoch,loss,loss_val,mrr,mrr_val
1,0.6931471228599548,14.978286743164062,0.9142637416012305,0.6090753759318968
2,8.052197456359863,0.8157322406768799,0.897579535335546,0.5479232015104213
3,0.6712830066680908,1.7287293672561646,0.888804339026957,0.494325427082133
4,0.9986183047294617,0.7995086908340454,0.892677892010038,0.5050100162094308
5,0.6795752048492432,0.7248933911323547,0.8908848053104509,0.5033816778886415
6,0.6882511973381042,0.7195478081703186,0.8907350441188375,0.5054260628172509
7,0.6900913715362549,0.7231816649436951,0.8912936128875577,0.5069924259188058
8,0.689848005771637,0.736871600151062,0.8927467012061847,0.5105272152067403
9,0.6887070536613464,0.7651088237762451,0.8929571763943981,0.5114755086363331
10,0.6846209764480591,0.8238772749900818,0.8943090747186918,0.5152508267860164
11,0.6829928755760193,0.8957769274711609,0.8959524002266656,0.5182676594313737
12,0.6872695088386536,0.8608723878860474,0.8950174046790254,0.5183342017837039
13,0.6841034293174744,0.8061546683311462,0.8953452602606654,0.5186806292552608
14,0.6807636022567749,0.7742694020271301,0.8950174046790254,0.5187310374024051
15,0.6808828115463257,0.7746946215629578,0.8958066866348255,0.5179513926198674
16,0.676765501499176,0.8119592666625977,0.894746215494212,0.5212035859477162
17,0.6677653789520264,0.9164332747459412,0.8960454950214523,0.5202700569922567
18,0.6780999302864075,0.8537073135375977,0.8966323969885858,0.5197351688383643
19,0.6678270101547241,0.7814038991928101,0.8974540597425726,0.5238432641696816
20,0.6680701375007629,0.7607758045196533,0.8966607301869991,0.5256703136675929
21,0.6665453910827637,0.787303626537323,0.8961183518173723,0.5232163443996128
22,0.6643615365028381,0.8651939034461975,0.8983809600906663,0.523508706337673
23,0.6645309329032898,0.8271563649177551,0.8988545292641463,0.5284617069809164
24,0.6620457172393799,0.7781100273132324,0.8991419088480531,0.5297676596767045
25,0.6628367304801941,0.7679693102836609,0.9006030923662268,0.5367063410288503
26,0.659765899181366,0.7835659384727478,0.9029911762324941,0.5419557289839528
27,0.6565184593200684,0.8404620885848999,0.904743786934348,0.5491432598029032
28,0.652235209941864,0.8361095786094666,0.9087185299117623,0.557178476283377
29,0.6515344381332397,0.7666791677474976,0.9127458916862301,0.5756405025956286
30,0.649463951587677,0.8054978251457214,0.9173965838257913,0.5948811658136819
31,0.635539710521698,0.8605862855911255,0.9190844329312717,0.6132512422847448
32,0.634610116481781,0.7710188627243042,0.9228163199222861,0.6403526673120464
33,0.6225358843803406,0.7533667087554932,0.9230510807091394,0.6490673051494301
34,0.605829656124115,0.7933952212333679,0.9226544159313527,0.6539050051035864
