Epoch,Loss,Hits@100,AUC-ROC,AP,MRR
1,2.2505714893341064,0.97,0.7664328904613618,0.7497972109195602,0.00044515040315022176
2,0.8810885548591614,0.97,0.7661228527736466,0.7496137949095693,0.0004454413313167787
3,0.6980482935905457,0.97,0.7657914947989353,0.749377407440131,0.00044558057273969443
4,0.7445815205574036,0.97,0.7655461969174797,0.7492102610206093,0.0004456175265251149
5,0.8166471123695374,0.97,0.7652176669868138,0.7489910403468845,0.0004456903817839642
6,0.7974740862846375,0.97,0.7649281346736936,0.748795032383997,0.0004459427909519347
7,0.7542006969451904,0.97,0.7646376178888452,0.7485980201038211,0.00044605447030838266
8,0.7163732647895813,0.97,0.7645520335893369,0.7485734362062522,0.0004460956108687564
9,0.6985799074172974,0.97,0.7643905822811975,0.7484308950241423,0.00044607093506125603
10,0.6858428716659546,0.97,0.7645421251588544,0.7485619680571882,0.00044606404618849566
11,0.6825845241546631,0.97,0.7646921502236281,0.7486412083608635,0.000445953187282356
12,0.6796898245811462,0.97,0.7650729424493613,0.7489608132198656,0.00044598218584994035
13,0.6783331632614136,0.97,0.7653430535399462,0.7492071513169185,0.00044599048485549473
14,0.6754703521728516,0.97,0.7654753242017489,0.7493489365661592,0.0004461094912338254
15,0.6746413111686707,0.97,0.7654264366511022,0.7493268772790992,0.0004461065369944948
16,0.675370991230011,0.97,0.7652075550851393,0.7491434251246648,0.00044609166896226776
17,0.6746022701263428,0.97,0.7649626805881848,0.748916308098313,0.000446046819386293
18,0.671562135219574,0.97,0.7648588198485053,0.7488062749006338,0.00044600900444697066
19,0.6720102429389954,0.97,0.7648356344089139,0.7487555294540214,0.000445975840602912
20,0.6708129048347473,0.97,0.7650218126050707,0.7488861550973861,0.00044595495307360884
21,0.6701658368110657,0.97,0.7652137948683677,0.7490382616582001,0.0004459654312480613
22,0.672420084476471,0.97,0.7653939778577799,0.7491792556731391,0.00044595404703514643
23,0.6701303124427795,0.97,0.765549943664787,0.7493041863314922,0.0004459473533150071
24,0.6698134541511536,0.97,0.7656499559215628,0.7493749887235828,0.0004459278704296115
25,0.6701842546463013,0.97,0.7657156205968783,0.7494108225672075,0.00044590857462548127
26,0.6694403290748596,0.97,0.7657834669355326,0.7494458120140687,0.000445879376201326
27,0.6680189967155457,0.97,0.7658636438339625,0.7494842074824648,0.000445847440806956
28,0.6696584820747375,0.97,0.7659544659752224,0.7495380983164746,0.00044584195572867436
29,0.6681039929389954,0.97,0.7660523366463184,0.7495997275667549,0.00044584230775445924
30,0.6676245927810669,0.97,0.766149145773265,0.7496621892734665,0.0004458283414808458
31,0.6685078740119934,0.97,0.7662282385196354,0.7497086019127037,0.0004458030389681879
32,0.6674917936325073,0.97,0.7662887033755936,0.7497369527784703,0.00044578313456288975
33,0.6693408489227295,0.97,0.766339734567185,0.7497556609899109,0.0004456409318819039
34,0.6670664548873901,0.97,0.7663971555763179,0.7497806494996483,0.0004456245968201386
